#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE069D
#Date Time: 2024-10-24 14:58:54.331
#Start: 1 Hz
#Stop: 500000 Hz
#Steps: 51
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.50455 V
#Offset: 0.000217447 V
#Relative: no
#Channel: Channel 2
#Range: 5.47883 V
#Offset: 0.000219117 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.004431877170510443,-20.80797509892184,0.007243897469678018
1.300107908483084,0.004446094410386106,-20.80614527431926,0.009553426355211059
1.690280573700253,0.004356673790793067,-20.80753223621393,0.01363443847166224
2.197547141423018,0.004643169598285787,-20.80674659574587,0.01975753304637351
2.857048417828449,0.004425829036754284,-20.8070366825995,0.01770089612506176
3.714471242937842,0.004408921950207035,-20.80619318576685,0.0144656110046526
4.82921343877647,0.003842633809802362,-20.80704508682285,0.02138647085064349
6.278498583506053,0.004274147000969387,-20.80596290226644,0.02603551260170889
8.162725661816044,0.004305588472617593,-20.80582944645974,0.04001769251675569
10.61242418770481,0.00436485955919384,-20.80663186703117,0.04980556450457385
13.79729661461217,0.004474321473101265,-20.80864250631067,0.05765058000353918
17.93797444434412,0.004359191114325554,-20.80646551773317,0.07581467937838227
23.32130243725916,0.004254067861892855,-20.80759578086822,0.1040211104129156
30.32020973480639,0.004279005653245479,-20.8059186683826,0.1439884869642896
39.4195444630875,0.004344863804035325,-20.80532874403079,0.168783504301615
51.24966150526048,0.004096774119097102,-20.80613878399235,0.2320325338737916
66.63009023007008,0.004326158079295506,-20.80745193193346,0.2969211534942104
86.62630725105534,0.004400109157453863,-20.80580672022095,0.3804492474090537
112.6235471397821,0.0040836404187435,-20.80513251800065,0.5032856140894069
146.4227643178479,0.00402559903088151,-20.80177940379562,0.6679529393667138
190.3653938715881,0.004196178855249845,-20.80662105617984,0.845293411310081
247.4955540739479,0.003907748839910018,-20.80414277313906,1.11938579645529
321.7709271659419,0.004026539803668702,-20.80117823946897,1.438014480478657
418.3369271283742,0.004088394413755397,-20.79715172385722,1.871210079019047
543.8831473701098,0.00387722003585114,-20.79436279336694,2.429006104054107
707.1067811865482,0.00419384235494116,-20.78756501139291,3.15247980166555
919.3151183626462,0.00343986986671479,-20.77422780958165,4.083869796634812
1195.208855771336,0.004431379065104445,-20.75167638232447,5.288196332948406
1553.900485677328,0.004916419730742393,-20.71881168373748,6.850533393724945
2020.238310424791,0.004867183801592564,-20.65806295230188,8.86174304986713
2626.527804403769,0.007038592682610282,-20.57574968837361,11.35446937541616
3414.769570356041,0.007639356973672319,-20.42913230987949,14.55727708961605
4439.568924067263,0.009025597410404205,-20.19698122598434,18.50998209155055
5771.91866843557,0.01251168020978211,-19.83751359427368,23.24485746481307
7504.117107954218,0.01187441591123365,-19.30428476917663,28.67536530411894
9756.161998234447,0.02226921911020095,-18.53129429495915,34.64816420581955
12684.0633703467,0.0233373749624059,-17.4928976818003,40.60413636072835
16490.65109948831,0.03146123976686088,-16.18565388163096,46.07381652241952
21439.62591047995,0.02904774572312619,-14.64168099389283,50.52662782947587
27873.82720113375,0.04425913804980804,-12.91643816600523,53.54751382207456
36238.9831838848,0.05355491040838101,-11.09583815949035,54.93866875410097
47114.58863275394,0.06905459508510789,-9.252483390374428,54.58991768551475
61254.04928637047,0.08486742417318982,-7.453855232597604,52.52945681423344
79636.87390382266,0.09620407580168905,-5.784787416393385,48.8623338794266
103536.5295692297,0.1226002562874634,-4.304804787425994,43.88020384844889
134608.6609098479,0.1323284281543137,-3.071486787832125,37.95852665962099
175005.7845992105,0.1305612500864263,-2.10692198339351,31.63095641563153
227526.4045877198,0.1075781676243125,-1.393995565754366,25.34819119511187
295808.8779932156,0.07765763237399502,-0.9000754901313711,19.43066609379217
384583.4616784864,0.01646906486986416,-0.5676795837703662,14.0571340156481
500000,-0.02721229637389855,-0.35610445450705,9.190862678606042
